label,name,code
1,South River Trail: Triple Claw,GC1A1E7
49,Canada Traveler Challenge: 5 Provinces,GC92B2K
47,Milledge Mystery Renewed,GC90JDX
2,Guarding South Fulton #21,GCH72A
0,Hottest Park n Ride,GC8D3PX
45,Grant Park History Cache #1,GC8D3KT
0,SRT: We've hit a snag,GC8D3Q1
49,World Traveler Challenge: 3 Continents,GC8D3RK
49,Linecrest One,GC8N2GW
40,Triceratops,GC8NA0K
47,100 Souvenirs Challenge,GC8N2JF
49,Grant Park Mini Multi Mystery,GC8N2K8
40,Welcome to Atlanta Where the Players Play,GC8N2K0
46,Georgia's Clean-Up Challenge,GC8D3K1
40,Gotta Cache um all #4,GC8D3KK
40,Berne Street Overlook & Fast Smiley,GC8D3JR
0,Brad's Blast,GC4YDE3
37,Such Great Heights Challenge,GC91NMF
40,Hotter Park N Ride,GC7D4A8
35,Virtual Insanity Challenge,GC6X0Y3
0,Mom's Cache Box in the Sky,GCGBY6
0,South River Trail: Glow worm,GCGBY7
37,"Thank You, Luigi Galvani",GC91NM5
0,I buried pall with wings,GC8VX0D
37,This place can be Hot,GC91NMY
37,The Power Trail Challenge: 1000 Caches in a Day,GC91NMN
49,Ormewood Park Bibliophiles #1,GC92B38
28,2.5 Difficulty/Mini Fizzy Challenge,GC682P4
0,Put Me Thru The Wringer!,GC2BGA7
40,The Frog Hole,GC419PW
0,The Great American Cachetime Challenge,GC7YX3Q
45,The Grant Park Sunflower,GC42JK0
45,SRT: Sugar Creek Blues,GCQKCZ
1,That's a big 'ole tree,GC44MZA
49,South River Trail: The fallen,GC1CWD9
0,Templeton's Doctor,GC3BG9G
1,Black Cat Tips,GC1W1YB
0,Gillian & Ella Cache,GC101M3
0,SRT:  The Greens,GC3548Q
43,Tricky Ducky,GC7F4D
0,Grant Park Bibliophiles #1,GCZBNW
47,You Putts,GC7N0JW
49,Little Ocmulgee River,GCQRC6
40,On the Corner of Lake Rd,GC46EB1
1,B and B Little Chicken,GC11HRX
35,A Chip off the Old Block,GC6VR7B
1,The Battle Of Utoy Creek,GC1NGZM
40,Rascal Rabbit,GC271TF
46,Aaron's Home,GC8R0NA
0,Fields of McCurry Park AL - Bonus Cache,GC1RDZK
1,SRT: UTP,GC44NXP
0,Dead Ringer off GA 85,GC1ATJM
47,Snoopy's Library,GC44MZ3
40,Geocachers Phone Home,GC44MZH
0,Tapes-tree,GC6GPE5
49,Double Vision,GC44MYY
46,Blood on the Beltline,GC36VC2
28,I can see my house from up here!,GC682NP
0,Pine Ridge,GC6GPFB
37,The Lower 48 States Challenge,GC8TEGE
40,Caching With Friends: Atlanta,GC1XV1Q
37,Glenwood Park Tour,GC939QB
7,"Georgia Spirit Quest #17 ""Oldest Member""",GC14T3V
40,23 Karat Dome,GC1Z22B
0,Atlanta United,GC456D7
37,Westside Beltline: MLK Overpass,GC8XXVG
49,Publix Enemy #18,GC23RM9
49,It's a Geocache Linus,GC44M0M
40,"Another Bug, Snug - UC Santa Cruz Style",GC456DQ
49,"Dale Carrot, Jr.",GC6G640
1,(Not THAT) Beaver Cache,GC44KZ6
0,Neighborhood Intruder: Gresham Park,GC456NM
40,Yet Another Snug Bug: It Lives!!!!,GCX78G
0,South River Trail: 3 Deer Near,GCV8VJ
37,Kohl'd Hard Cache #7 Mt. Zion,GC8XXPQ
1,DEAD RINGER AT 92N REROUTE,GC456F3
37,This Tree is Made for This!,GC8YD60
37,"The Walking Dead: ""Days Gone Bye"" & ""Guts""",GC8XXRC
28,Grant Park History: Erskine Fountain Cache,GC1FHJW
1,Beetle Box: Roach,GC8RC3J
40,Rock Garden Valentine,GC6G67W
0,The Master,GC1W4YG
37,Snug as a Bug in a Rug,GC8YD6C
37,Glenwood Park,GC8YD65
0,Got Bass!,GC6G63G
37,Cacti,GC8XXTX
37,Beltline Book Bin,GC3GJCF
37,Urban Decay: Mozley Park,GC8XXV0
46,Slim Bob's guarding the creek,GC53ZVA
37,Curious Gorge,GC8YD5T
1,Mount South Fulton,GC7Q4MF
37,Neighborhood Intruder: Vine City,GC8XXVB
49,I can see JFW from here!,GC2PEDC
37,CSI Downtown Atlanta: Murder She Wrote,GC8XXQ0
2,"Goats, see? ;)",GC8KK11
46,Eye in the Sky,GC94C66
40,Getting Your Ears Lowered Again,GC456FE
0,The Cache Above the City Beneath the City,GC8M840
37,TV time,GC91NN1
49,Nunn of Your Business,GC3K011
0,Infield Fly?,GC6G685
40,The Walking Dead: Consumed,GC6G68J
46,Lowe and Behold,GC15F1G
7,broccoli,GC155TT
7,Enforcement,GCQV7W
0,Yellow Submarine,GCM9W8
0,Learning thru Memories,GC6V9GY
7,"Not ITP nor OTP, but ATP #3",GC863D5
0,Terminus: Sanctuary For All,GC1N5V3
7,Schnippi Krokodil,GC14G7D
37,Pinky,GC8XXRK
2,Panther Pride,GC94R58
43,Apothecary Jar #2,GCQ0DR
46,Screw Baseball,GC5YWB0
0,Drive By - Original,GC94XEC
7,Cabbagetown Bibliophiles #1,GC14G7N
0,Camouflage,GC6G634
37,My New Mystery,GC8XXT1
0,"Georgia Spirit Quest #21 ""The Continental Line""",GC88RV7
0,Hot Patootie,GCVFQ6
0,Beacon Hill,GC17TN1
7,Fiddlin' John  Carson,GC151QH
7,Adair Park II,GC15CQ5
0,Tired,GC57PJX
2,Beacon Star,GC15D5A
2,The Chomp and Stomp,GC54YQZ
46,Braving the Elements-Iridium & Iodine,GC57M09
37,Washington Park,GC8RQYW
40,Beltline Bicycle,GC57P90
2,CSI East Atlanta: The FTF Murder,GC11A2N
35,D.H. Stanton Park,GC6V4NF
35,The Big Chicken of East Atlanta,GC6XBHK
35,Around the Corner,GC6RQZP
35,The Prime Family Cache,GC7XY1Q
35,This little light of mine,GC6Y30Z
40,Gotta Cache um all #3,GC4NEC2
35,John A. White Park,GC6QQAT
35,Atlanta Public Art Tour,GC6REEJ
35,Beltline Spur 2,GC6RR0K
37,The Rock,GC91FXZ
35,Musicians Melodic Minor Major Melodies,GC6R16B
35,East Atlanta Bibliophiles #2,GC6TKV7
0,QC Gnome Home,GC7C6MV
35,Smiling in Atlanta,GC6TKTW
35,SRT: Off Bouldercrest #2,GC78YDP
2,Defend the Dome,GC25VBW
35,A Few Pointers,GC6VXNT
35,Secret City: Cabbagetown,GC6VZ0G
2,Pavilion Depot - P&G,GC4ZNYQ
35,Into The Spider-Church,GC6VZ09
0,Green Giant of Intrenchment Creek,GC17MH3
35,Cache in a Flash,GC8NKD3
35,April Fools Easter Hunt,GC7Y42W
35,The Edgewood Contraption,GC6V4NN
35,Frederica River,GC6RJ9J
2,Olympic Virtual Relay: Leg 1- Fire & Water,GC2C1PP
37,Spivey Station,GC8V0Y4
35,"Not ITP nor OTP, but ATP #1",GC6Z9ZK
37,Lets roll the dice Scarlet,GC8W0N9
37,Revenge of The Fifth,GC91FY5
35,Don't Drop Dracula,GC6TKTY
0,Just Another Walk in the Park,GC5V94D
0,Electric Wetlands,GC19YXQ
35,The Cabbagetown Tunnel,GC6R17P
28,Another Dam Geocache II,GC1R1TE
35,All Dogs Go to Heaven,GC6RJ8P
35,Where Bandit Met Carrie,GC6XBJ0
35,Arms Wide Open,GC6VK45
46,Home Improvement,GC17RT2
0,Another Bump in the Road 3,GC620KN
35,MacKay River,GC6R17G
37,Olympic Virtual Relay:  Leg 2 - Spark & Flame,GC8YG97
37,Beltline Below,GC91FY7
35,Gneiss Cavern at Peachtree Center,GC6RKQD
49,Fayetteville. Commons,GC75A8Z
7,Cabbage and Krog Adventure Lab Bonus Cache,GC4TBP4
35,The road to nowhere,GC6VTD3
0,Historic Fayetteville Tour - BONUS,GC2KCCJ
49,Phoenix,GCV92H
